# Generated with ADRIA.jl v0.10.0 on 2023-11-25_11_53_14_950
component,fieldname,val,bounds,default_bounds,ptype,dists,criteria_keywords,lower_bound,upper_bound,is_constant,name,description
Intervention,shade_years,10,"(5.0, 75.0, 0.07142857142857142)","(5.0, 75.0, 0.07142857142857142)",integer,triang,,5.0,75.0,false,Years to Shade,Number of years to shade for.
Intervention,plan_horizon,5,"(0.0, 41.0)","(0.0, 41.0)",integer,unif,,0.0,41.0,false,Planning Horizon,How many years of projected data to take into account when selecting intervention locations (0 only accounts for current year).
Intervention,seed_freq,5,"(0.0, 16.0)","(0.0, 16.0)",integer,unif,,0.0,16.0,false,Seeding Frequency,Frequency of seeding site selection (0 is set and forget).
Intervention,shade_freq,1,"(0.0, 16.0)","(0.0, 16.0)",integer,unif,,0.0,16.0,false,Shading Frequency,Frequency of shading site selection (0 is set and forget).
Intervention,seed_year_start,2,"(2.0, 26.0)","(2.0, 26.0)",integer,unif,,2.0,26.0,false,Seeding Start Year,Start seeding deployments after this number of years has elapsed.
Intervention,shade_year_start,2,"(2.0, 26.0)","(2.0, 26.0)",integer,unif,,2.0,26.0,false,Shading Start Year,Start of shading deployments after this number of years has elapsed.
CriteriaWeights,seed_wave_stress,1.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:seed, :weight)",0.0,1.0,false,Seed Wave Stress,Importance of avoiding wave stress when seeding. Higher values places more weight on areas with low wave stress.
CriteriaWeights,seed_heat_stress,1.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:seed, :weight)",0.0,1.0,false,Seed Heat Stress,Importance of avoiding heat stress when seeding. Higher values places more weight on areas with low heat stress.
CriteriaWeights,fog_wave_stress,1.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:fog, :weight)",0.0,1.0,false,Shade Wave Stress,Importance of avoiding wave stress when fogging. Higher values places more weight on areas with low wave stress.
CriteriaWeights,fog_heat_stress,1.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:fog, :weight)",0.0,1.0,false,Shade Heat Stress,Importance of avoiding heat stress when fogging. Higher values places more weight on areas with low heat stress.
CriteriaWeights,fog_connectivity,0.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:fog, :weight)",0.0,1.0,false,Shade Connectivity,Higher values give preference to locations with high connectivity for shading deployments.
CriteriaWeights,seed_in_connectivity,1.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:seed, :weight)",0.0,1.0,false,Incoming Connectivity (Seed),"Higher values give preference to locations with high incoming connectivity (i.e., receives larvae from other sites) for enhanced coral deployments."
CriteriaWeights,seed_out_connectivity,1.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:seed, :weight)",0.0,1.0,false,Outgoing Connectivity (Seed),"Higher values give preference to locations with high outgoing connectivity (i.e., provides larvae to other sites) for enhanced coral deployments."
CriteriaWeights,seed_depth,1.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:seed, :weight)",0.0,1.0,false,Depth (Seed),Higher values give preference to depper locations for enhanced coral deployments.
CriteriaWeights,coral_cover_low,0.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:seed, :weight)",0.0,1.0,false,Low Coral Cover,Higher values give greater preference to sites with low coral cover for seeding deployments.
CriteriaWeights,coral_cover_high,0.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:fog, :weight)",0.0,1.0,false,High Coral Cover,Higher values give preference to sites with high coral cover for shading deployments.
CriteriaWeights,seed_priority,1.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:seed, :weight)",0.0,1.0,false,Predecessor Priority (Seed),Importance of seeding sites that provide larvae to priority reefs.
CriteriaWeights,fog_priority,0.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:fog, :weight)",0.0,1.0,false,Predecessor Priority (Shade),Importance of shading sites that provide larvae to priority reefs.
CriteriaWeights,seed_zone,0.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:seed, :weight)",0.0,1.0,false,Zone Predecessor (Seed),Importance of seeding sites that provide larvae to priority (target) zones.
CriteriaWeights,fog_zone,0.0,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:fog, :weight)",0.0,1.0,false,Zone Predecessor (Shade),Importance of shading sites that provide larvae to priority (target) zones.
CriteriaWeights,coral_cover_tol,0.2,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:threshold, :seed)",0.0,1.0,false,Low Area Tolerance,Tolerance for low proportional space for seeding deployments.
CriteriaWeights,deployed_coral_risk_tol,1.0,"(0.75, 1.0)","(0.0, 1.0)",real,unif,"(:threshold, :seed, :fog)",0.75,1.0,false,Risk Tolerance,Filters out sites with heat/wave stress above threshold.
CriteriaWeights,use_dist,1,"(0.0, 2.0)","(0.0, 2.0)",categorical,unif,"(:threshold,)",0.0,2.0,false,Use Distance Threshold,Turns distance sorting on or off.
CriteriaWeights,dist_thresh,0.1,"(0.0, 1.0)","(0.0, 1.0)",real,unif,"(:threshold,)",0.0,1.0,false,Distance Threshold,Sites selected by MCDA must be further apart than median(dist)-dist_thresh*median(dist).
CriteriaWeights,depth_min,5.0,"(3.0, 5.0)","(3.0, 5.0)",real,unif,"(:threshold,)",3.0,5.0,false,Minimum Depth,"Minimum depth for a site to be included for consideration.
Note: This value will be replaced with the shallowest depth value found if all sites are found to be deeper than `depth_min + depth_offset`."
CriteriaWeights,depth_offset,10.0,"(10.0, 25.0)","(10.0, 25.0)",real,unif,"(:threshold,)",10.0,25.0,false,Depth Offset,"Offset from minimum depth, used to indicate maximum depth."
Coral,heritability,0.3,"(0.25, 0.5)","(0.25, 0.5)",real,unif,,0.25,0.5,false,Heritability,Heritability of DHW tolerance.
Coral,abhorescent_acropora_1_1_mean_colony_diameter_m,0.01,"(0.009000000000000001, 0.011000000000000001, 0.5)","(0.009000000000000001, 0.011000000000000001, 0.5)",real,triang,,0.009000000000000001,0.011000000000000001,false,Abhorescent Acropora 1 1 Mean Colony Diameter M,
Coral,abhorescent_acropora_1_1_growth_rate,1.0,"(0.9, 1.1, 0.5)","(0.9, 1.1, 0.5)",real,triang,,0.9,1.1,false,Abhorescent Acropora 1 1 Growth Rate,
Coral,abhorescent_acropora_1_1_fecundity,0.0,"(0.0, 0.0, 0.5)","(0.0, 0.0, 0.5)",real,triang,,0.0,0.0,true,Abhorescent Acropora 1 1 Fecundity,
Coral,abhorescent_acropora_1_1_mb_rate,0.2,"(0.18000000000000002, 0.22000000000000003, 0.5)","(0.18000000000000002, 0.22000000000000003, 0.5)",real,triang,,0.18000000000000002,0.22000000000000003,false,Abhorescent Acropora 1 1 Mb Rate,
Coral,abhorescent_acropora_1_1_dist_mean,3.345484656,"(3.0109361904000003, 3.6800331216, 0.5)","(3.0109361904000003, 3.6800331216, 0.5)",real,triang,,3.0109361904000003,3.6800331216,false,Abhorescent Acropora 1 1 Dist Mean,
Coral,abhorescent_acropora_1_1_dist_std,2.590016677,"(2.3310150093, 2.8490183447, 0.5)","(2.3310150093, 2.8490183447, 0.5)",real,triang,,2.3310150093,2.8490183447,false,Abhorescent Acropora 1 1 Dist Std,
Coral,abhorescent_acropora_1_2_mean_colony_diameter_m,0.035,"(0.03150000000000001, 0.038500000000000006, 0.5)","(0.03150000000000001, 0.038500000000000006, 0.5)",real,triang,,0.03150000000000001,0.038500000000000006,false,Abhorescent Acropora 1 2 Mean Colony Diameter M,
Coral,abhorescent_acropora_1_2_growth_rate,2.0,"(1.8, 2.2, 0.5)","(1.8, 2.2, 0.5)",real,triang,,1.8,2.2,false,Abhorescent Acropora 1 2 Growth Rate,
Coral,abhorescent_acropora_1_2_fecundity,0.0,"(0.0, 0.0, 0.5)","(0.0, 0.0, 0.5)",real,triang,,0.0,0.0,true,Abhorescent Acropora 1 2 Fecundity,
Coral,abhorescent_acropora_1_2_mb_rate,0.2,"(0.18000000000000002, 0.22000000000000003, 0.5)","(0.18000000000000002, 0.22000000000000003, 0.5)",real,triang,,0.18000000000000002,0.22000000000000003,false,Abhorescent Acropora 1 2 Mb Rate,
Coral,abhorescent_acropora_1_2_dist_mean,3.345484656,"(3.0109361904000003, 3.6800331216, 0.5)","(3.0109361904000003, 3.6800331216, 0.5)",real,triang,,3.0109361904000003,3.6800331216,false,Abhorescent Acropora 1 2 Dist Mean,
Coral,abhorescent_acropora_1_2_dist_std,2.590016677,"(2.3310150093, 2.8490183447, 0.5)","(2.3310150093, 2.8490183447, 0.5)",real,triang,,2.3310150093,2.8490183447,false,Abhorescent Acropora 1 2 Dist Std,
Coral,abhorescent_acropora_1_3_mean_colony_diameter_m,0.075,"(0.0675, 0.0825, 0.5)","(0.0675, 0.0825, 0.5)",real,triang,,0.0675,0.0825,false,Abhorescent Acropora 1 3 Mean Colony Diameter M,
Coral,abhorescent_acropora_1_3_growth_rate,1.2,"(1.08, 1.32, 0.5)","(1.08, 1.32, 0.5)",real,triang,,1.08,1.32,false,Abhorescent Acropora 1 3 Growth Rate,
Coral,abhorescent_acropora_1_3_fecundity,0.0,"(0.0, 0.0, 0.5)","(0.0, 0.0, 0.5)",real,triang,,0.0,0.0,true,Abhorescent Acropora 1 3 Fecundity,
Coral,abhorescent_acropora_1_3_mb_rate,0.004,"(0.0036000000000000003, 0.0044, 0.5)","(0.0036000000000000003, 0.0044, 0.5)",real,triang,,0.0036000000000000003,0.0044,false,Abhorescent Acropora 1 3 Mb Rate,
Coral,abhorescent_acropora_1_3_dist_mean,3.345484656,"(3.0109361904000003, 3.6800331216, 0.5)","(3.0109361904000003, 3.6800331216, 0.5)",real,triang,,3.0109361904000003,3.6800331216,false,Abhorescent Acropora 1 3 Dist Mean,
Coral,abhorescent_acropora_1_3_dist_std,2.590016677,"(2.3310150093, 2.8490183447, 0.5)","(2.3310150093, 2.8490183447, 0.5)",real,triang,,2.3310150093,2.8490183447,false,Abhorescent Acropora 1 3 Dist Std,
Coral,abhorescent_acropora_1_4_mean_colony_diameter_m,0.15,"(0.135, 0.165, 0.5)","(0.135, 0.165, 0.5)",real,triang,,0.135,0.165,false,Abhorescent Acropora 1 4 Mean Colony Diameter M,
Coral,abhorescent_acropora_1_4_growth_rate,0.8800000000000001,"(0.7920000000000001, 0.9680000000000002, 0.5)","(0.7920000000000001, 0.9680000000000002, 0.5)",real,triang,,0.7920000000000001,0.9680000000000002,false,Abhorescent Acropora 1 4 Growth Rate,
Coral,abhorescent_acropora_1_4_fecundity,438604.91751749755,"(394744.4257657478, 482465.4092692473, 0.5)","(394744.4257657478, 482465.4092692473, 0.5)",real,triang,,394744.4257657478,482465.4092692473,false,Abhorescent Acropora 1 4 Fecundity,
Coral,abhorescent_acropora_1_4_mb_rate,0.004,"(0.0036000000000000003, 0.0044, 0.5)","(0.0036000000000000003, 0.0044, 0.5)",real,triang,,0.0036000000000000003,0.0044,false,Abhorescent Acropora 1 4 Mb Rate,
Coral,abhorescent_acropora_1_4_dist_mean,3.345484656,"(3.0109361904000003, 3.6800331216, 0.5)","(3.0109361904000003, 3.6800331216, 0.5)",real,triang,,3.0109361904000003,3.6800331216,false,Abhorescent Acropora 1 4 Dist Mean,
Coral,abhorescent_acropora_1_4_dist_std,2.590016677,"(2.3310150093, 2.8490183447, 0.5)","(2.3310150093, 2.8490183447, 0.5)",real,triang,,2.3310150093,2.8490183447,false,Abhorescent Acropora 1 4 Dist Std,
Coral,abhorescent_acropora_1_5_mean_colony_diameter_m,0.3,"(0.27, 0.33, 0.5)","(0.27, 0.33, 0.5)",real,triang,,0.27,0.33,false,Abhorescent Acropora 1 5 Mean Colony Diameter M,
Coral,abhorescent_acropora_1_5_growth_rate,0.44000000000000006,"(0.3960000000000001, 0.4840000000000001, 0.5)","(0.3960000000000001, 0.4840000000000001, 0.5)",real,triang,,0.3960000000000001,0.4840000000000001,false,Abhorescent Acropora 1 5 Growth Rate,
Coral,abhorescent_acropora_1_5_fecundity,646621.7284485496,"(581959.5556036946, 711283.9012934046, 0.5)","(581959.5556036946, 711283.9012934046, 0.5)",real,triang,,581959.5556036946,711283.9012934046,false,Abhorescent Acropora 1 5 Fecundity,
Coral,abhorescent_acropora_1_5_mb_rate,0.002,"(0.0018000000000000002, 0.0022, 0.5)","(0.0018000000000000002, 0.0022, 0.5)",real,triang,,0.0018000000000000002,0.0022,false,Abhorescent Acropora 1 5 Mb Rate,
Coral,abhorescent_acropora_1_5_dist_mean,3.345484656,"(3.0109361904000003, 3.6800331216, 0.5)","(3.0109361904000003, 3.6800331216, 0.5)",real,triang,,3.0109361904000003,3.6800331216,false,Abhorescent Acropora 1 5 Dist Mean,
Coral,abhorescent_acropora_1_5_dist_std,2.590016677,"(2.3310150093, 2.8490183447, 0.5)","(2.3310150093, 2.8490183447, 0.5)",real,triang,,2.3310150093,2.8490183447,false,Abhorescent Acropora 1 5 Dist Std,
Coral,abhorescent_acropora_1_6_mean_colony_diameter_m,0.6,"(0.54, 0.66, 0.5)","(0.54, 0.66, 0.5)",real,triang,,0.54,0.66,false,Abhorescent Acropora 1 6 Mean Colony Diameter M,
Coral,abhorescent_acropora_1_6_growth_rate,0.04400000000000001,"(0.03960000000000001, 0.04840000000000002, 0.5)","(0.03960000000000001, 0.04840000000000002, 0.5)",real,triang,,0.03960000000000001,0.04840000000000002,false,Abhorescent Acropora 1 6 Growth Rate,
Coral,abhorescent_acropora_1_6_fecundity,953294.5094832616,"(857965.0585349355, 1.0486239604315879e6, 0.5)","(857965.0585349355, 1.0486239604315879e6, 0.5)",real,triang,,857965.0585349355,1.0486239604315879e6,false,Abhorescent Acropora 1 6 Fecundity,
Coral,abhorescent_acropora_1_6_mb_rate,0.002,"(0.0018000000000000002, 0.0022, 0.5)","(0.0018000000000000002, 0.0022, 0.5)",real,triang,,0.0018000000000000002,0.0022,false,Abhorescent Acropora 1 6 Mb Rate,
Coral,abhorescent_acropora_1_6_dist_mean,3.345484656,"(3.0109361904000003, 3.6800331216, 0.5)","(3.0109361904000003, 3.6800331216, 0.5)",real,triang,,3.0109361904000003,3.6800331216,false,Abhorescent Acropora 1 6 Dist Mean,
Coral,abhorescent_acropora_1_6_dist_std,2.590016677,"(2.3310150093, 2.8490183447, 0.5)","(2.3310150093, 2.8490183447, 0.5)",real,triang,,2.3310150093,2.8490183447,false,Abhorescent Acropora 1 6 Dist Std,
Coral,tabular_acropora_2_1_mean_colony_diameter_m,0.01,"(0.009000000000000001, 0.011000000000000001, 0.5)","(0.009000000000000001, 0.011000000000000001, 0.5)",real,triang,,0.009000000000000001,0.011000000000000001,false,Tabular Acropora 2 1 Mean Colony Diameter M,
Coral,tabular_acropora_2_1_growth_rate,1.0,"(0.9, 1.1, 0.5)","(0.9, 1.1, 0.5)",real,triang,,0.9,1.1,false,Tabular Acropora 2 1 Growth Rate,
Coral,tabular_acropora_2_1_fecundity,0.0,"(0.0, 0.0, 0.5)","(0.0, 0.0, 0.5)",real,triang,,0.0,0.0,true,Tabular Acropora 2 1 Fecundity,
Coral,tabular_acropora_2_1_mb_rate,0.2,"(0.18000000000000002, 0.22000000000000003, 0.5)","(0.18000000000000002, 0.22000000000000003, 0.5)",real,triang,,0.18000000000000002,0.22000000000000003,false,Tabular Acropora 2 1 Mb Rate,
Coral,tabular_acropora_2_1_dist_mean,3.751612251,"(3.3764510259000002, 4.1267734761, 0.5)","(3.3764510259000002, 4.1267734761, 0.5)",real,triang,,3.3764510259000002,4.1267734761,false,Tabular Acropora 2 1 Dist Mean,
Coral,tabular_acropora_2_1_dist_std,2.904433676,"(2.6139903084, 3.1948770436000005, 0.5)","(2.6139903084, 3.1948770436000005, 0.5)",real,triang,,2.6139903084,3.1948770436000005,false,Tabular Acropora 2 1 Dist Std,
Coral,tabular_acropora_2_2_mean_colony_diameter_m,0.035,"(0.03150000000000001, 0.038500000000000006, 0.5)","(0.03150000000000001, 0.038500000000000006, 0.5)",real,triang,,0.03150000000000001,0.038500000000000006,false,Tabular Acropora 2 2 Mean Colony Diameter M,
Coral,tabular_acropora_2_2_growth_rate,2.0,"(1.8, 2.2, 0.5)","(1.8, 2.2, 0.5)",real,triang,,1.8,2.2,false,Tabular Acropora 2 2 Growth Rate,
Coral,tabular_acropora_2_2_fecundity,0.0,"(0.0, 0.0, 0.5)","(0.0, 0.0, 0.5)",real,triang,,0.0,0.0,true,Tabular Acropora 2 2 Fecundity,
Coral,tabular_acropora_2_2_mb_rate,0.2,"(0.18000000000000002, 0.22000000000000003, 0.5)","(0.18000000000000002, 0.22000000000000003, 0.5)",real,triang,,0.18000000000000002,0.22000000000000003,false,Tabular Acropora 2 2 Mb Rate,
Coral,tabular_acropora_2_2_dist_mean,3.751612251,"(3.3764510259000002, 4.1267734761, 0.5)","(3.3764510259000002, 4.1267734761, 0.5)",real,triang,,3.3764510259000002,4.1267734761,false,Tabular Acropora 2 2 Dist Mean,
Coral,tabular_acropora_2_2_dist_std,2.904433676,"(2.6139903084, 3.1948770436000005, 0.5)","(2.6139903084, 3.1948770436000005, 0.5)",real,triang,,2.6139903084,3.1948770436000005,false,Tabular Acropora 2 2 Dist Std,
Coral,tabular_acropora_2_3_mean_colony_diameter_m,0.075,"(0.0675, 0.0825, 0.5)","(0.0675, 0.0825, 0.5)",real,triang,,0.0675,0.0825,false,Tabular Acropora 2 3 Mean Colony Diameter M,
Coral,tabular_acropora_2_3_growth_rate,1.2,"(1.08, 1.32, 0.5)","(1.08, 1.32, 0.5)",real,triang,,1.08,1.32,false,Tabular Acropora 2 3 Growth Rate,
Coral,tabular_acropora_2_3_fecundity,0.0,"(0.0, 0.0, 0.5)","(0.0, 0.0, 0.5)",real,triang,,0.0,0.0,true,Tabular Acropora 2 3 Fecundity,
Coral,tabular_acropora_2_3_mb_rate,0.19,"(0.171, 0.20900000000000002, 0.5)","(0.171, 0.20900000000000002, 0.5)",real,triang,,0.171,0.20900000000000002,false,Tabular Acropora 2 3 Mb Rate,
Coral,tabular_acropora_2_3_dist_mean,3.751612251,"(3.3764510259000002, 4.1267734761, 0.5)","(3.3764510259000002, 4.1267734761, 0.5)",real,triang,,3.3764510259000002,4.1267734761,false,Tabular Acropora 2 3 Dist Mean,
Coral,tabular_acropora_2_3_dist_std,2.904433676,"(2.6139903084, 3.1948770436000005, 0.5)","(2.6139903084, 3.1948770436000005, 0.5)",real,triang,,2.6139903084,3.1948770436000005,false,Tabular Acropora 2 3 Dist Std,
Coral,tabular_acropora_2_4_mean_colony_diameter_m,0.15,"(0.135, 0.165, 0.5)","(0.135, 0.165, 0.5)",real,triang,,0.135,0.165,false,Tabular Acropora 2 4 Mean Colony Diameter M,
Coral,tabular_acropora_2_4_growth_rate,0.8800000000000001,"(0.7920000000000001, 0.9680000000000002, 0.5)","(0.7920000000000001, 0.9680000000000002, 0.5)",real,triang,,0.7920000000000001,0.9680000000000002,false,Tabular Acropora 2 4 Growth Rate,
Coral,tabular_acropora_2_4_fecundity,438604.91751749755,"(394744.4257657478, 482465.4092692473, 0.5)","(394744.4257657478, 482465.4092692473, 0.5)",real,triang,,394744.4257657478,482465.4092692473,false,Tabular Acropora 2 4 Fecundity,
Coral,tabular_acropora_2_4_mb_rate,0.19,"(0.171, 0.20900000000000002, 0.5)","(0.171, 0.20900000000000002, 0.5)",real,triang,,0.171,0.20900000000000002,false,Tabular Acropora 2 4 Mb Rate,
Coral,tabular_acropora_2_4_dist_mean,3.751612251,"(3.3764510259000002, 4.1267734761, 0.5)","(3.3764510259000002, 4.1267734761, 0.5)",real,triang,,3.3764510259000002,4.1267734761,false,Tabular Acropora 2 4 Dist Mean,
Coral,tabular_acropora_2_4_dist_std,2.904433676,"(2.6139903084, 3.1948770436000005, 0.5)","(2.6139903084, 3.1948770436000005, 0.5)",real,triang,,2.6139903084,3.1948770436000005,false,Tabular Acropora 2 4 Dist Std,
Coral,tabular_acropora_2_5_mean_colony_diameter_m,0.3,"(0.27, 0.33, 0.5)","(0.27, 0.33, 0.5)",real,triang,,0.27,0.33,false,Tabular Acropora 2 5 Mean Colony Diameter M,
Coral,tabular_acropora_2_5_growth_rate,0.44000000000000006,"(0.3960000000000001, 0.4840000000000001, 0.5)","(0.3960000000000001, 0.4840000000000001, 0.5)",real,triang,,0.3960000000000001,0.4840000000000001,false,Tabular Acropora 2 5 Growth Rate,
Coral,tabular_acropora_2_5_fecundity,646621.7284485496,"(581959.5556036946, 711283.9012934046, 0.5)","(581959.5556036946, 711283.9012934046, 0.5)",real,triang,,581959.5556036946,711283.9012934046,false,Tabular Acropora 2 5 Fecundity,
Coral,tabular_acropora_2_5_mb_rate,0.098,"(0.0882, 0.1078, 0.5)","(0.0882, 0.1078, 0.5)",real,triang,,0.0882,0.1078,false,Tabular Acropora 2 5 Mb Rate,
Coral,tabular_acropora_2_5_dist_mean,3.751612251,"(3.3764510259000002, 4.1267734761, 0.5)","(3.3764510259000002, 4.1267734761, 0.5)",real,triang,,3.3764510259000002,4.1267734761,false,Tabular Acropora 2 5 Dist Mean,
Coral,tabular_acropora_2_5_dist_std,2.904433676,"(2.6139903084, 3.1948770436000005, 0.5)","(2.6139903084, 3.1948770436000005, 0.5)",real,triang,,2.6139903084,3.1948770436000005,false,Tabular Acropora 2 5 Dist Std,
Coral,tabular_acropora_2_6_mean_colony_diameter_m,0.6,"(0.54, 0.66, 0.5)","(0.54, 0.66, 0.5)",real,triang,,0.54,0.66,false,Tabular Acropora 2 6 Mean Colony Diameter M,
Coral,tabular_acropora_2_6_growth_rate,0.04400000000000001,"(0.03960000000000001, 0.04840000000000002, 0.5)","(0.03960000000000001, 0.04840000000000002, 0.5)",real,triang,,0.03960000000000001,0.04840000000000002,false,Tabular Acropora 2 6 Growth Rate,
Coral,tabular_acropora_2_6_fecundity,953294.5094832616,"(857965.0585349355, 1.0486239604315879e6, 0.5)","(857965.0585349355, 1.0486239604315879e6, 0.5)",real,triang,,857965.0585349355,1.0486239604315879e6,false,Tabular Acropora 2 6 Fecundity,
Coral,tabular_acropora_2_6_mb_rate,0.098,"(0.0882, 0.1078, 0.5)","(0.0882, 0.1078, 0.5)",real,triang,,0.0882,0.1078,false,Tabular Acropora 2 6 Mb Rate,
Coral,tabular_acropora_2_6_dist_mean,3.751612251,"(3.3764510259000002, 4.1267734761, 0.5)","(3.3764510259000002, 4.1267734761, 0.5)",real,triang,,3.3764510259000002,4.1267734761,false,Tabular Acropora 2 6 Dist Mean,
Coral,tabular_acropora_2_6_dist_std,2.904433676,"(2.6139903084, 3.1948770436000005, 0.5)","(2.6139903084, 3.1948770436000005, 0.5)",real,triang,,2.6139903084,3.1948770436000005,false,Tabular Acropora 2 6 Dist Std,
Coral,corymbose_acropora_3_1_mean_colony_diameter_m,0.01,"(0.009000000000000001, 0.011000000000000001, 0.5)","(0.009000000000000001, 0.011000000000000001, 0.5)",real,triang,,0.009000000000000001,0.011000000000000001,false,Corymbose Acropora 3 1 Mean Colony Diameter M,
Coral,corymbose_acropora_3_1_growth_rate,1.0,"(0.9, 1.1, 0.5)","(0.9, 1.1, 0.5)",real,triang,,0.9,1.1,false,Corymbose Acropora 3 1 Growth Rate,
Coral,corymbose_acropora_3_1_fecundity,0.0,"(0.0, 0.0, 0.5)","(0.0, 0.0, 0.5)",real,triang,,0.0,0.0,true,Corymbose Acropora 3 1 Fecundity,
Coral,corymbose_acropora_3_1_mb_rate,0.2,"(0.18000000000000002, 0.22000000000000003, 0.5)","(0.18000000000000002, 0.22000000000000003, 0.5)",real,triang,,0.18000000000000002,0.22000000000000003,false,Corymbose Acropora 3 1 Mb Rate,
Coral,corymbose_acropora_3_1_dist_mean,4.081622683,"(3.6734604147, 4.489784951300001, 0.5)","(3.6734604147, 4.489784951300001, 0.5)",real,triang,,3.6734604147,4.489784951300001,false,Corymbose Acropora 3 1 Dist Mean,
Coral,corymbose_acropora_3_1_dist_std,3.159922076,"(2.8439298684, 3.4759142836000003, 0.5)","(2.8439298684, 3.4759142836000003, 0.5)",real,triang,,2.8439298684,3.4759142836000003,false,Corymbose Acropora 3 1 Dist Std,
Coral,corymbose_acropora_3_2_mean_colony_diameter_m,0.035,"(0.03150000000000001, 0.038500000000000006, 0.5)","(0.03150000000000001, 0.038500000000000006, 0.5)",real,triang,,0.03150000000000001,0.038500000000000006,false,Corymbose Acropora 3 2 Mean Colony Diameter M,
Coral,corymbose_acropora_3_2_growth_rate,2.0,"(1.8, 2.2, 0.5)","(1.8, 2.2, 0.5)",real,triang,,1.8,2.2,false,Corymbose Acropora 3 2 Growth Rate,
Coral,corymbose_acropora_3_2_fecundity,0.0,"(0.0, 0.0, 0.5)","(0.0, 0.0, 0.5)",real,triang,,0.0,0.0,true,Corymbose Acropora 3 2 Fecundity,
Coral,corymbose_acropora_3_2_mb_rate,0.2,"(0.18000000000000002, 0.22000000000000003, 0.5)","(0.18000000000000002, 0.22000000000000003, 0.5)",real,triang,,0.18000000000000002,0.22000000000000003,false,Corymbose Acropora 3 2 Mb Rate,
Coral,corymbose_acropora_3_2_dist_mean,4.081622683,"(3.6734604147, 4.489784951300001, 0.5)","(3.6734604147, 4.489784951300001, 0.5)",real,triang,,3.6734604147,4.489784951300001,false,Corymbose Acropora 3 2 Dist Mean,
Coral,corymbose_acropora_3_2_dist_std,3.159922076,"(2.8439298684, 3.4759142836000003, 0.5)","(2.8439298684, 3.4759142836000003, 0.5)",real,triang,,2.8439298684,3.4759142836000003,false,Corymbose Acropora 3 2 Dist Std,
Coral,corymbose_acropora_3_3_mean_colony_diameter_m,0.075,"(0.0675, 0.0825, 0.5)","(0.0675, 0.0825, 0.5)",real,triang,,0.0675,0.0825,false,Corymbose Acropora 3 3 Mean Colony Diameter M,
